Country,Year,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,GDP_per_Capita,Life_Expectancy,Internet_Access,Infant_Mortality,FSI_Category
"Yemen, Rep.",2019,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,High,1_VeryHighAlert
Somalia,2019,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
South Sudan,2019,High,High,High,High,High,Medium,High,High,High,High,High,High,Medium,Low,Low,High,1_VeryHighAlert
Syrian Arab Republic,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Medium,Medium,Medium,1_VeryHighAlert
"Congo, Dem. Rep.",2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Central African Republic,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Chad,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Sudan,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Medium,High,1_VeryHighAlert
Afghanistan,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Zimbabwe,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Guinea,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Haiti,2019,High,High,Medium,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Iraq,2019,High,High,High,Medium,High,High,High,High,High,High,High,High,Medium,Medium,Low,High,1_VeryHighAlert
Nigeria,2019,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,High,1_VeryHighAlert
Burundi,2019,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Cameroon,2019,High,High,High,Medium,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Eritrea,2019,Medium,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,High,1_VeryHighAlert
Niger,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Guinea-Bissau,2019,High,High,Medium,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Uganda,2019,High,High,High,Medium,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Mali,2019,High,Medium,High,High,High,High,Medium,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Myanmar,2019,High,High,High,Medium,High,High,High,High,High,Medium,High,High,Low,Low,Low,High,1_VeryHighAlert
Pakistan,2019,High,High,High,Medium,Medium,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Ethiopia,2019,High,High,High,Medium,Medium,Medium,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Kenya,2019,High,High,High,Medium,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
"Korea, Dem. People's Rep.",2019,High,High,Medium,High,High,Medium,High,High,High,High,Medium,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
"Congo, Rep.",2019,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,High,1_VeryHighAlert
Libya,2019,High,High,High,High,Medium,Medium,High,Medium,High,Medium,High,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
Cote d'Ivoire,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Liberia,2019,High,High,Medium,High,High,High,Medium,High,Medium,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Mauritania,2019,Medium,High,High,High,Medium,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
"Venezuela, RB",2019,High,High,High,High,High,Medium,High,High,High,Medium,Medium,Medium,Low,Medium,Low,Medium,2_HighAlert
Mozambique,2019,High,Medium,Medium,High,High,High,High,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
"Egypt, Arab Rep.",2019,High,High,High,High,Medium,Medium,High,Medium,High,Medium,High,High,Low,Medium,Low,Medium,2_HighAlert
Angola,2019,High,High,High,Medium,High,Medium,High,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Bangladesh,2019,High,High,High,Medium,Medium,High,High,High,High,High,High,Medium,Low,Medium,Low,High,2_HighAlert
Rwanda,2019,Medium,High,High,Medium,High,High,High,High,Medium,High,High,High,Low,Low,Low,High,2_HighAlert
Togo,2019,High,High,Medium,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,High,2_HighAlert
Sierra Leone,2019,Medium,High,Medium,High,High,High,Medium,High,Medium,High,High,High,Low,Low,Low,High,2_HighAlert
Zambia,2019,Medium,Medium,Medium,High,High,High,High,High,High,High,Medium,High,Low,Low,Low,High,2_HighAlert
Timor-Leste,2019,Medium,High,Medium,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Eswatini,2019,Medium,High,Low,High,High,High,High,High,High,High,Medium,High,Medium,Low,Low,High,2_HighAlert
Djibouti,2019,Medium,High,Medium,High,High,Medium,High,High,High,High,High,High,Low,Low,Medium,High,2_HighAlert
Lebanon,2019,High,High,High,Medium,Medium,Medium,High,Medium,High,Medium,High,High,Medium,High,High,Medium,2_HighAlert
Nepal,2019,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,Low,Medium,Low,High,2_HighAlert
Sri Lanka,2019,High,High,High,Medium,Medium,High,High,Medium,High,Medium,High,Medium,Medium,High,Low,Low,2_HighAlert
Burkina Faso,2019,High,High,Medium,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
"Gambia, The",2019,Medium,High,Low,High,Medium,High,High,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Malawi,2019,Medium,High,Medium,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Papua New Guinea,2019,High,High,Medium,Medium,High,High,Medium,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Philippines,2019,High,High,High,Medium,Medium,Medium,High,Medium,High,High,High,Medium,Low,Medium,Low,Medium,2_HighAlert
"Iran, Islamic Rep.",2019,High,High,High,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,2_HighAlert
Equatorial Guinea,2019,Medium,High,Medium,Medium,High,Medium,High,High,High,High,Medium,Medium,Medium,Low,Low,High,2_HighAlert
Cambodia,2019,Medium,High,Medium,Medium,Medium,High,High,High,High,Medium,Medium,High,Low,Medium,Low,Medium,2_HighAlert
Solomon Islands,2019,Medium,High,Medium,High,High,High,Medium,High,Medium,High,Medium,High,Low,Medium,Low,Medium,2_HighAlert
Comoros,2019,Medium,High,Medium,High,High,High,High,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Guatemala,2019,High,High,High,Medium,High,High,High,High,High,High,Medium,Medium,Medium,Medium,Low,Medium,2_HighAlert
Madagascar,2019,High,High,Medium,High,High,High,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Turkiye,2019,High,High,High,Medium,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,2_HighAlert
Tanzania,2019,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Lesotho,2019,Medium,High,Low,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,3_Alert
Lao PDR,2019,Medium,High,High,Medium,Medium,High,High,Medium,High,High,Medium,Medium,Low,Low,Low,High,3_Alert
